dataset,generator,alpha,n_r,n_s,method,variant,t,repeats,ok_rate,wall_mean_ms,wall_stdev_ms,wall_median_ms,wall_p95_ms,count_mean,count_stdev,exact_frac,note
exp6_stripe__nr100000__ns100000__a1_000ep00__g1,stripe,1,100000,100000,ours,adaptive,30000,3,1,358.138,30.55,373.286,377.667,200000,0,1,
exp6_stripe__nr100000__ns100000__a1_000ep00__g1,stripe,1,100000,100000,ours,sampling,100000,3,1,499.582,26.0889,513.867,515.254,200000,0,1,
exp6_stripe__nr100000__ns100000__a1_000ep00__g1,stripe,1,100000,100000,ours,enum_sampling,100000,3,1,460.599,27.2333,475.859,476.689,200000,0,1,
exp6_stripe__nr100000__ns100000__a1_000ep00__g1,stripe,1,100000,100000,ours,adaptive,100000,3,1,358.36,29.4832,374.903,375.761,200000,0,1,
exp6_stripe__nr100000__ns100000__a1_000ep00__g1,stripe,1,100000,100000,ours,sampling,300000,3,1,511.688,27.1218,527.024,527.603,200000,0,1,
exp6_stripe__nr100000__ns100000__a1_000ep00__g1,stripe,1,100000,100000,ours,enum_sampling,300000,3,1,480.499,26.9882,495.364,496.644,200000,0,1,
exp6_stripe__nr100000__ns100000__a1_000ep00__g1,stripe,1,100000,100000,ours,adaptive,300000,3,1,359.203,29.731,375.293,377.209,200000,0,1,
exp6_stripe__nr100000__ns100000__a1_000ep00__g1,stripe,1,100000,100000,ours,sampling,1000000,3,1,542.274,26.4677,556.385,558.464,200000,0,1,
exp6_stripe__nr100000__ns100000__a1_000ep00__g1,stripe,1,100000,100000,ours,enum_sampling,1000000,3,1,556.477,25.2174,568.804,572.724,200000,0,1,
exp6_stripe__nr100000__ns100000__a1_000ep00__g1,stripe,1,100000,100000,ours,adaptive,1000000,3,1,364.742,28.7692,381.018,381.616,200000,0,1,
exp6_stripe__nr100000__ns100000__a3_000ep00__g1,stripe,3,100000,100000,ours,sampling,1000,3,1,493.268,26.8514,506.576,510.438,600000,0,1,
exp6_stripe__nr100000__ns100000__a3_000ep00__g1,stripe,3,100000,100000,ours,enum_sampling,1000,3,1,459.322,26.7032,474.41,475,600000,0,1,
exp6_stripe__nr100000__ns100000__a3_000ep00__g1,stripe,3,100000,100000,ours,adaptive,1000,3,1,363.055,29.6561,379.792,380.483,600000,0,1,
exp6_stripe__nr100000__ns100000__a3_000ep00__g1,stripe,3,100000,100000,ours,sampling,3000,3,1,492.517,25.9681,506.225,508.505,600000,0,1,
exp6_stripe__nr100000__ns100000__a3_000ep00__g1,stripe,3,100000,100000,ours,enum_sampling,3000,3,1,457.935,30.0135,475.233,475.288,600000,0,1,
exp6_stripe__nr100000__ns100000__a3_000ep00__g1,stripe,3,100000,100000,ours,adaptive,3000,3,1,362.031,29.1718,377.968,379.583,600000,0,1,
exp6_stripe__nr100000__ns100000__a3_000ep00__g1,stripe,3,100000,100000,ours,sampling,10000,3,1,493.922,28.1473,508.732,511.288,600000,0,1,
exp6_stripe__nr100000__ns100000__a3_000ep00__g1,stripe,3,100000,100000,ours,enum_sampling,10000,3,1,460.369,30.1637,477.012,478.391,600000,0,1,
exp6_stripe__nr100000__ns100000__a3_000ep00__g1,stripe,3,100000,100000,ours,adaptive,10000,3,1,362.508,30.0187,378.61,380.796,600000,0,1,
exp6_stripe__nr100000__ns100000__a3_000ep00__g1,stripe,3,100000,100000,ours,sampling,30000,3,1,495.46,26.8931,508.612,512.783,600000,0,1,
