dataset,generator,alpha,n_r,n_s,method,variant,t,repeats_ok,build_ms,count_ms,enum_ms,sample_ms,run_total_ms_from_phases,wall_ms,build_pct,count_pct,enum_pct,sample_pct
exp7_stripe__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,ours,sampling,100000,3,101.851869,222.573907,0.0,149.214662,470.50312199999996,513.251,21.64743744250862,47.30551118425947,0.0,31.71385162455947
exp7_stripe__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,pbsm,sampling,100000,3,23.769299,13.80699,0.0,21.022164,58.554244999999995,58.5583,40.59363928268566,23.579827559897666,0.0,35.90203238040214
exp7_stripe__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,r_tree,sampling,100000,3,35.535102,322.38742,0.0,281.048195,640.597554,640.6,5.547180406499024,50.32604604668847,0.0,43.87281737888122
exp7_stripe__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,range_tree,sampling,100000,3,90.107367,1028.641698,0.0,807.173018,1925.917894,1925.92,4.678671260115515,53.410464755773226,0.0,41.91108149078758
exp7_stripe__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,sirs,sampling,100000,3,119.115072,2742.460631,0.0,18.059596,2879.7913790000002,2879.8,4.136239620293689,95.2312258102638,0.0,0.6271147323967317
exp7_stripe__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,tlsop,sampling,100000,3,392.581322,538.57395,0.0,546.655607,1474.9462549999998,1475.99,26.61665268610076,36.5148186365611,0.0,37.06274755075737
exp7_stripe__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,5,100000,100000,tsunami,sampling,100000,3,86.03305,5335.700726,0.0,21.30526,5443.0663970000005,5443.07,1.580598944143286,98.02747820494756,0.0,0.39142017469679596
exp7_stripe__nr100000__ns100000__a3_000ep01__g1,stripe_ctrl_alpha,30,100000,100000,aabb,adaptive,100000,3,35.503393,875.74696,252.132406,488.940313,1654.364678,1654.39,2.1460439449735405,52.93554508542282,15.240436969725971,29.554566747102662
exp7_stripe__nr100000__ns100000__a3_000ep01__g1,stripe_ctrl_alpha,30,100000,100000,interval_tree,adaptive,100000,3,137.62747,439.140909,274.664141,286.791287,1140.225847,1192.96,12.070193844676107,38.51350240440568,24.088573480653608,25.152147511351757
exp7_stripe__nr100000__ns100000__a3_000ep01__g1,stripe_ctrl_alpha,30,100000,100000,kd_tree,adaptive,100000,3,94.507891,284.581641,300.13259800000003,127.75836,807.727507,807.746,11.70046707348299,35.23238202657868,37.15765470396442,15.81701240737862
exp7_stripe__nr100000__ns100000__a3_000ep01__g1,stripe_ctrl_alpha,30,100000,100000,ours,adaptive,100000,3,102.41962,211.437598,76.253979,152.44389,542.207895,585.722,18.889363460854806,38.99566936405454,14.063605436803902,28.11539474171618
exp7_stripe__nr100000__ns100000__a3_000ep01__g1,stripe_ctrl_alpha,30,100000,100000,pbsm,adaptive,100000,3,22.652193,73.087634,12.653704,79.353969,187.6808,187.69,12.069531353233788,38.942520492240014,6.742140911590316,42.28134630713424
exp7_stripe__nr100000__ns100000__a3_000ep01__g1,stripe_ctrl_alpha,30,100000,100000,r_tree,adaptive,100000,3,35.706908,388.889265,189.262318,312.472189,926.154455,926.758,3.855394508683759,41.98967708901212,20.43528668228454,33.73866932379006
