dataset,generator,alpha,n_r,n_s,method,variant,t,repeats,ok_rate,wall_mean_ms,wall_stdev_ms,wall_median_ms,wall_p95_ms,count_mean,count_stdev,exact_frac,note
stripe_alpha__nr100000__ns100000__a3_000em01__g1,stripe_ctrl_alpha,0.3,100000,100000,rejection,sampling,100000,3,0,-1,-1,-1,-1,-1,-1,0,SKIPPED: rejection+sampling is disabled in sjs_sweep; use variant=adaptive.
stripe_alpha__nr100000__ns100000__a3_000em01__g1,stripe_ctrl_alpha,0.3,100000,100000,rejection,adaptive,100000,3,1,1597.58,16.2285,1606.94,1606.96,60000,0,1,
stripe_alpha__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,ours,sampling,100000,3,1,498.904,28.5016,515.015,515.633,200000,0,1,
stripe_alpha__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,ours,adaptive,100000,3,1,355.813,29.6633,372.679,373.146,200000,0,1,
stripe_alpha__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,aabb,sampling,100000,3,1,791.362,1.59724,790.467,792.932,200000,0,1,
stripe_alpha__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,aabb,adaptive,100000,3,1,694.973,1.92447,694.447,696.84,200000,0,1,
stripe_alpha__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,interval_tree,sampling,100000,3,1,810.619,22.1926,822.702,824.004,200000,0,1,
stripe_alpha__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,interval_tree,adaptive,100000,3,1,701.384,1.1132,701.481,702.35,200000,0,1,
stripe_alpha__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,kd_tree,sampling,100000,3,1,373.9,1.78281,372.935,375.655,200000,0,1,
stripe_alpha__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,kd_tree,adaptive,100000,3,1,483.288,0.532634,483.458,483.69,200000,0,1,
stripe_alpha__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,r_tree,sampling,100000,3,1,616.641,1.19471,616.266,617.807,200000,0,1,
stripe_alpha__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,r_tree,adaptive,100000,3,1,428.043,4.49704,426.406,432.456,200000,0,1,
stripe_alpha__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,range_tree,sampling,100000,3,1,1859.24,3.52213,1858.21,1862.66,200000,0,1,
stripe_alpha__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,range_tree,adaptive,100000,3,1,1294.43,1.01197,1294.93,1295.08,200000,0,1,
stripe_alpha__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,pbsm,sampling,100000,3,1,39.4575,0.188688,39.4038,39.6409,200000,0,1,
stripe_alpha__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,pbsm,adaptive,100000,3,1,28.1259,0.0370264,28.1381,28.1535,200000,0,1,
stripe_alpha__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,tlsop,sampling,100000,3,1,1425.28,0.818144,1425.46,1425.94,200000,0,1,
stripe_alpha__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,tlsop,adaptive,100000,3,1,921.804,2.7971,921.628,924.379,200000,0,1,
stripe_alpha__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,sirs,sampling,100000,3,1,2879.92,1.53434,2879.26,2881.43,200000,0,1,
stripe_alpha__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,sirs,adaptive,100000,3,1,3472.68,2.0443,3471.91,3474.69,200000,0,1,
stripe_alpha__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,rejection,sampling,100000,3,0,-1,-1,-1,-1,-1,-1,0,SKIPPED: rejection+sampling is disabled in sjs_sweep; use variant=adaptive.
stripe_alpha__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,rejection,adaptive,100000,3,1,1586.66,9.44716,1591.33,1592.7,200000,0,1,
stripe_alpha__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,ours,sampling,100000,3,1,499.192,28.413,514.633,516.35,600000,0,1,
stripe_alpha__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,ours,adaptive,100000,3,1,364.112,31.2939,379.7,384.065,600000,0,1,
stripe_alpha__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,aabb,sampling,100000,3,1,834.235,2.26982,833.523,836.45,600000,0,1,
stripe_alpha__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,aabb,adaptive,100000,3,1,726.627,1.05469,726.812,727.501,600000,0,1,
stripe_alpha__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,interval_tree,sampling,100000,3,1,822.613,22.2642,833.128,837.218,600000,0,1,
stripe_alpha__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,interval_tree,adaptive,100000,3,1,711.658,4.9559,709.725,716.532,600000,0,1,
