dataset,generator,alpha,n_r,n_s,method,variant,t,repeats,ok_rate,wall_mean_ms,wall_stdev_ms,wall_median_ms,wall_p95_ms,count_mean,count_stdev,exact_frac,note
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,kd_tree,sampling,1000000,3,1,1069.19,2.06542,1068.09,1071.22,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,kd_tree,adaptive,1000000,3,1,1510.1,1.40753,1509.39,1511.48,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,r_tree,sampling,1000000,3,1,486.81,0.845808,486.81,487.571,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,r_tree,adaptive,1000000,3,1,610.614,1.00101,610.672,611.494,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,range_tree,sampling,1000000,3,1,2680.86,2.23152,2681.35,2682.66,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,range_tree,adaptive,1000000,3,1,3263.32,1.89868,3262.29,3265.19,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,pbsm,sampling,1000000,3,1,633.447,0.917548,632.967,634.352,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,pbsm,adaptive,1000000,3,1,677.835,2.62553,678.947,679.644,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,tlsop,sampling,1000000,3,1,335.548,0.281461,335.467,335.822,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,tlsop,adaptive,1000000,3,1,357.284,0.145983,357.349,357.382,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,sirs,sampling,1000000,3,1,1198.59,4.83925,1199.23,1202.7,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,sirs,adaptive,1000000,3,1,1299.85,1.85591,1299.1,1301.68,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,rejection,sampling,1000000,3,0,-1,-1,-1,-1,-1,-1,0,SKIPPED: rejection+sampling is disabled in sjs_sweep; use variant=adaptive.
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,rejection,adaptive,1000000,3,1,713.324,4.38779,712.968,717.388,6.34799e+06,11640.3,0,
