dataset,generator,alpha,n_r,n_s,method,variant,t,repeats,ok_rate,wall_mean_ms,wall_stdev_ms,wall_median_ms,wall_p95_ms,count_mean,count_stdev,exact_frac,note
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,tlsop,sampling,100000,3,1,625.263,0.800462,624.861,626.052,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,tlsop,adaptive,100000,3,1,644.485,1.49799,643.676,645.96,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,sirs,sampling,100000,3,1,1501.1,0.506348,1500.84,1501.6,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,sirs,adaptive,100000,3,1,1543.95,0.886877,1544.34,1544.56,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,rejection,sampling,100000,3,0,-1,-1,-1,-1,-1,-1,0,SKIPPED: rejection+sampling is disabled in sjs_sweep; use variant=adaptive.
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,rejection,adaptive,100000,3,1,263.628,4.36338,263.356,267.644,2.15307e+07,246788,0,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,ours,sampling,300000,3,1,611.356,37.8181,631.955,634.157,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,ours,adaptive,300000,3,1,662.576,38.9583,682.216,687.246,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,aabb,sampling,300000,3,1,1303.37,2.61948,1303.95,1305.49,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,aabb,adaptive,300000,3,1,1401.27,3.17256,1401.58,1404.01,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,interval_tree,sampling,300000,3,1,1190.88,42.0888,1213.84,1216.23,2.16826e+07,0,1,
