run_id,regime,alpha,t,repeats,seed,gen_seed,N,method,variant,exit_code,rss_kb,enum_truncated_any,run_csv
20251228_165406,alpha100,100,100000,5,1,1,100000,tsunami,adaptive,0,58204,1,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N100000/tsunami/adaptive/run.csv
20251228_165406,alpha100,100,100000,5,1,1,200000,ours,sampling,0,408128,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N200000/ours/sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,200000,ours,enum_sampling,0,380916,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N200000/ours/enum_sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,200000,ours,adaptive,0,416216,1,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N200000/ours/adaptive/run.csv
20251228_165406,alpha100,100,100000,5,1,1,200000,aabb,sampling,0,115688,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N200000/aabb/sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,200000,aabb,enum_sampling,0,126148,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N200000/aabb/enum_sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,200000,aabb,adaptive,0,195532,1,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N200000/aabb/adaptive/run.csv
20251228_165406,alpha100,100,100000,5,1,1,200000,interval_tree,sampling,0,621436,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N200000/interval_tree/sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,200000,interval_tree,enum_sampling,0,596044,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N200000/interval_tree/enum_sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,200000,interval_tree,adaptive,0,1140712,1,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N200000/interval_tree/adaptive/run.csv
