dataset,generator,alpha,n_r,n_s,method,variant,t,repeats,ok_rate,wall_mean_ms,wall_stdev_ms,wall_median_ms,wall_p95_ms,count_mean,count_stdev,exact_frac,note
exp7_stripe__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,ours,sampling,100000,3,1,500.181,29.8303,512.749,520.778,600000,0,1,
exp7_stripe__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,ours,adaptive,100000,3,1,362.697,29.2893,379.096,380.011,600000,0,1,
exp7_stripe__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,aabb,sampling,100000,3,1,846.84,1.51896,846.69,848.255,600000,0,1,
exp7_stripe__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,aabb,adaptive,100000,3,1,715.977,1.46771,716.622,716.973,600000,0,1,
exp7_stripe__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,interval_tree,sampling,100000,3,1,824.687,19.7176,834.694,837.124,600000,0,1,
exp7_stripe__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,interval_tree,adaptive,100000,3,1,728.35,3.43929,726.581,731.74,600000,0,1,
exp7_stripe__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,kd_tree,sampling,100000,3,1,398.538,2.52759,398.494,400.827,600000,0,1,
exp7_stripe__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,kd_tree,adaptive,100000,3,1,498.348,1.8767,499.129,499.65,600000,0,1,
exp7_stripe__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,r_tree,sampling,100000,3,1,634.203,2.64905,634.259,636.567,600000,0,1,
exp7_stripe__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,r_tree,adaptive,100000,3,1,439.996,1.22795,439.645,441.19,600000,0,1,
exp7_stripe__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,range_tree,sampling,100000,3,1,1919.3,2.07285,1918.37,1921.35,600000,0,1,
exp7_stripe__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,range_tree,adaptive,100000,3,1,1313.19,2.30257,1312.7,1315.4,600000,0,1,
exp7_stripe__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,pbsm,sampling,100000,3,1,48.3558,0.124038,48.3462,48.4705,600000,0,1,
exp7_stripe__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,pbsm,adaptive,100000,3,1,33.2775,0.0546184,33.2736,33.3279,600000,0,1,
exp7_stripe__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,tlsop,sampling,100000,3,1,1454.49,6.81689,1450.65,1461.19,600000,0,1,
exp7_stripe__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,tlsop,adaptive,100000,3,1,929.378,1.82462,928.838,931.154,600000,0,1,
exp7_stripe__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,sirs,sampling,100000,3,1,2885.37,0.707215,2885.15,2886.06,600000,0,1,
exp7_stripe__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,sirs,adaptive,100000,3,1,3477.65,1.53731,3477.34,3479.12,600000,0,1,
exp7_stripe__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,rejection,sampling,100000,3,0,-1,-1,-1,-1,-1,-1,0,SKIPPED: rejection+sampling is disabled in sjs_sweep; use variant=adaptive.
exp7_stripe__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,rejection,adaptive,100000,3,1,1599.47,12.4854,1605.3,1607.7,600000,0,1,
exp7_stripe__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,3,100000,100000,tsunami,sampling,100000,3,1,5433.98,1.17116,5433.66,5435.11,600000,0,1,
